Class	Gram_stain
Methanobacteria	NA
Thermoplasmata	NA
Actinomycetia	Positive
Coriobacteriia	Positive
Bacilli	Positive
Clostridia	Positive
Peptococcia	Positive
Negativicutes	Negative
Bacteroidia	Negative
Kapabacteria	Negative
Campylobacteria	Negative
Anaerolineae	Negative_monoderm
Desulfobulbia	Negative
Desulfovibrionia	Negative
Fusobacteriia	Negative
Bradymonadia	Negative
Polyangia	Negative
Dojkabacteria	Unclear
JAEDAM01	Unclear
Microgenomatia	Unclear
Paceibacteria	Unclear
Saccharimonadia	Unclear
Alphaproteobacteria	Negative
Gammaproteobacteria	Negative
Ozemobacteria	Negative
GWE2-31-10	Negative
Leptospirae	Negative
Spirochaetia	Negative
Synergistia	Negative
Lentisphaeria	Negative
